Test: 	Time 0.020 (0.015)	Data 0.018 (0.013)	Loss 5.5465 (5.5453)	Prec@all 41.406 (42.912)
Test: 	Time 0.006 (0.015)	Data 0.004 (0.013)	Loss 5.5454 (5.5452)	Prec@all 43.750 (42.882)
Test: 	Time 0.006 (0.015)	Data 0.004 (0.013)	Loss 5.5484 (5.5453)	Prec@all 34.375 (42.759)
Test: 	Time 0.006 (0.015)	Data 0.004 (0.013)	Loss 5.5455 (5.5453)	Prec@all 36.328 (42.665)
Test: 	Time 0.022 (0.015)	Data 0.020 (0.013)	Loss 5.5449 (5.5453)	Prec@all 42.578 (42.545)
Test: 	Time 0.002 (0.015)	Data 0.000 (0.013)	Loss 5.5448 (5.5453)	Prec@all 42.188 (42.490)
 * Epoch: [0] Prec@all 42.483
Epoch: [1][0/677]	Time 0.151 (0.151)	Data 0.147 (0.147)	Loss 5.5465 (5.5465)	Prec@all 37.109 (37.109)
Epoch: [1][10/677]	Time 0.016 (0.030)	Data 0.012 (0.026)	Loss 5.5431 (5.5454)	Prec@all 41.406 (39.027)
Epoch: [1][20/677]	Time 0.011 (0.021)	Data 0.008 (0.017)	Loss 5.5454 (5.5454)	Prec@all 38.672 (38.876)
Epoch: [1][30/677]	Time 0.008 (0.019)	Data 0.005 (0.015)	Loss 5.5445 (5.5452)	Prec@all 41.016 (39.604)
Epoch: [1][40/677]	Time 0.019 (0.017)	Data 0.016 (0.014)	Loss 5.5451 (5.5450)	Prec@all 42.969 (40.063)
Epoch: [1][50/677]	Time 0.013 (0.017)	Data 0.009 (0.013)	Loss 5.5462 (5.5452)	Prec@all 38.672 (40.372)
Epoch: [1][60/677]	Time 0.021 (0.016)	Data 0.017 (0.013)	Loss 5.5465 (5.5452)	Prec@all 38.281 (40.529)
Epoch: [1][70/677]	Time 0.008 (0.016)	Data 0.004 (0.012)	Loss 5.5463 (5.5452)	Prec@all 38.281 (40.586)
Epoch: [1][80/677]	Time 0.026 (0.015)	Data 0.024 (0.012)	Loss 5.5455 (5.5452)	Prec@all 40.625 (40.273)
Epoch: [1][90/677]	Time 0.007 (0.015)	Data 0.003 (0.012)	Loss 5.5445 (5.5452)	Prec@all 36.328 (39.702)
Epoch: [1][100/677]	Time 0.004 (0.015)	Data 0.000 (0.012)	Loss 5.5457 (5.5452)	Prec@all 33.984 (39.190)
Epoch: [1][110/677]	Time 0.008 (0.015)	Data 0.005 (0.012)	Loss 5.5452 (5.5452)	Prec@all 38.281 (39.052)
Epoch: [1][120/677]	Time 0.019 (0.015)	Data 0.016 (0.012)	Loss 5.5461 (5.5453)	Prec@all 33.594 (38.849)
Epoch: [1][130/677]	Time 0.030 (0.015)	Data 0.026 (0.012)	Loss 5.5449 (5.5453)	Prec@all 38.281 (38.618)
Epoch: [1][140/677]	Time 0.011 (0.015)	Data 0.007 (0.012)	Loss 5.5448 (5.5453)	Prec@all 37.891 (38.556)
Epoch: [1][150/677]	Time 0.009 (0.015)	Data 0.006 (0.011)	Loss 5.5448 (5.5453)	Prec@all 37.500 (38.392)
Epoch: [1][160/677]	Time 0.007 (0.015)	Data 0.003 (0.011)	Loss 5.5461 (5.5453)	Prec@all 35.547 (38.228)
Epoch: [1][170/677]	Time 0.005 (0.015)	Data 0.002 (0.011)	Loss 5.5461 (5.5453)	Prec@all 34.375 (38.162)
Epoch: [1][180/677]	Time 0.015 (0.015)	Data 0.011 (0.011)	Loss 5.5449 (5.5453)	Prec@all 38.672 (38.074)
Epoch: [1][190/677]	Time 0.009 (0.015)	Data 0.006 (0.011)	Loss 5.5447 (5.5453)	Prec@all 34.766 (37.870)
Epoch: [1][200/677]	Time 0.014 (0.015)	Data 0.010 (0.011)	Loss 5.5461 (5.5453)	Prec@all 35.547 (37.786)
